question_id,topic,component,subtopic,question_type,difficulty,priority,active,tags,source_ref,version,subtopic_code,id_prefix,next_seq,prompt_template,gap_count,choice_a,choice_b,gap1_correct,gap1_allow_repeat,gap2_correct,gap2_allow_repeat,gap3_correct,gap3_allow_repeat,gap4_correct,gap4_allow_repeat,gap5_correct,gap5_allow_repeat,explanation
AB_ITNIC_REQ_INVSCHEME_001,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,eis|seis|vct,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,1,"Enterprise Investment scheme (EIS) income tax relief is given as a {gap1} on qualifying subscriptions, and the maximum annual subscription eligible for relief is {gap2}.",2,tax reducer,1000000,A,Y,B,Y,,,,,,,"EIS IT relief is a tax reducer, and the annual subscription cap for relief is £1,000,000."
AB_ITNIC_REQ_INVSCHEME_002,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,eis|conditions,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,2,"For Enterprise Investment scheme (EIS), the investor must subscribe in {gap1} for newly issued ordinary shares, and must not own more than {gap2} of the share capital.",2,0.3,cash,B,Y,A,Y,,,,,,,"EIS requires a cash subscription for new ordinary shares, and connection includes holdings above 30%."
AB_ITNIC_REQ_INVSCHEME_003,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,eis|withdrawal,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,3,"If Enterprise Investment scheme (EIS) shares are sold at a {gap1}, all relief may be withdrawn; if sold at a loss, withdrawn relief is based on proceeds × {gap2} (or original lower rate).",2,0.3,gain,B,Y,A,Y,,,,,,,"Your notes state gain disposal can trigger full withdrawal, while loss disposal uses proceeds × 30% (or lower original relief rate)."
AB_ITNIC_REQ_INVSCHEME_004,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,eis|cgt,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,4,"For Enterprise Investment scheme (EIS) CGT treatment, gains are exempt if shares are held for {gap1} or more, but taxed normally if held for {gap2} than three years.",2,less,three years,B,Y,A,Y,,,,,,,EIS disposal gains are exempt at 3+ years; under 3 years they are taxed normally.
AB_ITNIC_REQ_INVSCHEME_005,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,seis|limits,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,5,"Seed Enterprise Investment scheme (SEIS) income tax relief applies to subscriptions up to {gap1} per tax year, at a relief rate of {gap2}.",2,0.5,200000,B,Y,A,Y,,,,,,,Seed Enterprise Investment scheme (SEIS) has a lower annual subscription cap than Enterprise Investment scheme (EIS) and gives relief at 50%.
AB_ITNIC_REQ_INVSCHEME_006,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,seis|criteria,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,6,"Under Seed Enterprise Investment scheme (SEIS), being a director is {gap1}, but being connected through employment or ownership above 30% is {gap2}.",2,not permitted,permitted,B,Y,A,Y,,,,,,,"Your notes explicitly allow being a director for SEIS, but not connection via employee status or >30% ownership."
AB_ITNIC_REQ_INVSCHEME_007,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,vct|relief,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,7,Venture Capital Trust (VCT) income tax relief is available on subscriptions up to £{gap1} each tax year at {gap2}% of the amount subscribed (subject to tax liability cap).,2,30,200000,B,Y,A,Y,,,,,,,"VCT income tax relief has a £200,000 annual subscription cap and relief rate of 30%."
AB_ITNIC_REQ_INVSCHEME_008,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,vct|cgt,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,8,"For Venture Capital Trust (VCT) shares, disposal gains are {gap1} from CGT and disposal losses are {gap2} allowable.",2,not,exempt,B,Y,A,Y,,,,,,,"VCT gains are exempt and losses are not allowable, with no minimum holding period for that CGT treatment."
AB_ITNIC_REQ_INVSCHEME_009,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,ordering|reducers,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,9,"Where more than one investment-scheme income tax reducer is available, the deduction order is {gap1} first, then Enterprise Investment scheme (EIS), then {gap2}.",2,Seed Enterprise Investment scheme (SEIS),VCT,B,Y,A,Y,,,,,,,"Reducer order in your notes is VCT first, EIS second, SEIS third."
AB_ITNIC_REQ_INVSCHEME_010,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,timing|reinvestment,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,10,Enterprise Investment scheme (EIS) deferral relief requires reinvestment within {gap1} year before and {gap2} years after disposal of a chargeable asset.,2,three,one,B,Y,A,Y,,,,,,,The EIS reinvestment timing window in your notes is one year before to three years after disposal.
AB_ITNIC_REQ_INVSCHEME_011,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,timing|seis,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,11,"Seed Enterprise Investment scheme (SEIS) reinvestment relief applies where reinvestment in qualifying SEIS shares occurs in the {gap1} tax year as disposal, while Enterprise Investment scheme (EIS) deferral allows reinvestment up to {gap2} years after disposal.",2,same,three,A,Y,B,Y,,,,,,,SEIS reinvestment relief is same-tax-year; EIS deferral allows reinvestment up to three years after disposal (and one year before).
AB_ITNIC_REQ_INVSCHEME_012,Income tax & NIC,requirements,EIS/SEIS/VCT,cloze_ab,3,0,Y,eis|claims,user_notes,1,INVSCHEME,AB_ITNIC_REQ_INVSCHEME,12,"An Enterprise Investment scheme (EIS) income tax relief claim for 2024/25 must be made by {gap1}, and EIS shares must generally be held for at least {gap2} to avoid relief withdrawal events.",2,three years,2031-01-31 00:00:00,B,Y,A,Y,,,,,,,"Your notes give 31 January 2031 as the claim deadline for 2024/25, and a 3-year holding condition."
AB_ITNIC_REQ_EMPSHARESCHEME_001,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,saye|limits,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,1,"Under Save As You Earn (SAYE), monthly contributions are fixed between {gap1} and {gap2}.",2,5,500,A,Y,B,Y,,,,,,,Save As You Earn (SAYE) contributions must be regular fixed sums between £5 and £500.
AB_ITNIC_REQ_EMPSHARESCHEME_002,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,saye|term,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,2,Save As You Earn (SAYE) savings contracts run for either {gap1} years or {gap2} years.,2,3,5,A,Y,B,Y,,,,,,,Save As You Earn (SAYE) contract lengths are 3 years or 5 years.
AB_ITNIC_REQ_EMPSHARESCHEME_003,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,saye|tax,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,3,"On Save As You Earn (SAYE) grant and exercise, {gap1} and {gap2} are not charged.",2,IT,NICs,A,Y,B,Y,,,,,,,Your notes state no IT or NICs on Save As You Earn (SAYE) grant or exercise.
AB_ITNIC_REQ_EMPSHARESCHEME_004,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,saye|completion,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,4,"At Save As You Earn (SAYE) completion, the employee may take {gap1} or use funds to buy employer/parent {gap2}.",2,shares,cash,B,Y,A,Y,,,,,,,"On completion, employees can take cash or acquire qualifying shares."
AB_ITNIC_REQ_EMPSHARESCHEME_005,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,saye|disposal,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,5,"For Save As You Earn (SAYE)-acquired shares, the disposal tax regime is {gap1} rather than {gap2}.",2,CGT,income tax,A,Y,B,Y,,,,,,,The notes specify CGT on sale for Save As You Earn (SAYE) shares.
AB_ITNIC_REQ_EMPSHARESCHEME_006,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,csop|shares,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,6,"For Company Share Option Plan (CSOP), shares must be fully paid {gap1} shares, and grant price must be at least {gap2}.",2,market value,ordinary,B,Y,A,Y,,,,,,,Company Share Option Plan (CSOP) requires fully paid ordinary shares and no discount to MV at grant.
AB_ITNIC_REQ_EMPSHARESCHEME_007,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,csop|eligibility,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,7,"Company Share Option Plan (CSOP) options are {gap1}, and people who held over {gap2} of a close company in the prior 12 months are excluded.",2,not transferable,0.3,A,Y,B,Y,,,,,,,"Company Share Option Plan (CSOP) options cannot be transferred, and >30% close-company holders are excluded."
AB_ITNIC_REQ_EMPSHARESCHEME_008,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,csop|population,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,8,"Company Share Option Plan (CSOP) can be offered to {gap1} employees/full-time directors (not all staff), with exercise allowed from year {gap2} onwards.",2,3,selected,B,Y,A,Y,,,,,,,Company Share Option Plan (CSOP) is selective and options are exercised between 3 and 10 years.
AB_ITNIC_REQ_EMPSHARESCHEME_009,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,csop|window,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,9,Company Share Option Plan (CSOP) exercise must occur between {gap1} and {gap2} years after grant.,2,10,3,B,Y,A,Y,,,,,,,Company Share Option Plan (CSOP) options must be exercised within the 3–10 year window.
AB_ITNIC_REQ_EMPSHARESCHEME_010,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,csop|cap,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,10,"An employee Company Share Option Plan (CSOP) grant is capped at {gap1}, and tax at grant/exercise is {gap2} for IT and NIC.",2,no charge,60000,B,Y,A,Y,,,,,,,"Company Share Option Plan (CSOP) employee limit is £60,000 and no IT/NIC on grant or exercise."
AB_ITNIC_REQ_EMPSHARESCHEME_011,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,csop|disposal,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,11,"For Company Share Option Plan (CSOP) shares, disposal is generally within {gap1}, while grant/exercise remains free from {gap2}.",2,CGT,IT/NIC,A,Y,B,Y,,,,,,,Company Share Option Plan (CSOP) follows CGT on disposal; no IT/NIC at grant or exercise.
AB_ITNIC_REQ_EMPSHARESCHEME_012,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|purpose,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,12,Enterprise Management Incentive schemes (EMI) is designed to help smaller higher-risk companies {gap1} and retain critical employees with key {gap2}.,2,skills,recruit,B,Y,A,Y,,,,,,,Enterprise Management Incentive schemes (EMI) supports recruitment/retention of critical talent in smaller higher-risk companies.
AB_ITNIC_REQ_EMPSHARESCHEME_013,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|company,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,13,Enterprise Management Incentive schemes (EMI) company conditions include gross assets below {gap1} and fewer than {gap2} employees.,2,£30m,250,A,Y,B,Y,,,,,,,Enterprise Management Incentive schemes (EMI) company limits are gross assets <£30m and <250 employees.
AB_ITNIC_REQ_EMPSHARESCHEME_014,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|company2,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,14,"For Enterprise Management Incentive schemes (EMI), the company must have a permanent establishment in the {gap1} and must not be controlled by {gap2} company.",2,another,UK,B,Y,A,Y,,,,,,,Enterprise Management Incentive schemes (EMI) requires UK permanent establishment and independence from another controller.
AB_ITNIC_REQ_EMPSHARESCHEME_015,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|employee,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,15,Enterprise Management Incentive schemes (EMI) working-time condition is at least {gap1} hours/week or at least {gap2} of working time.,2,25,0.75,A,Y,B,Y,,,,,,,Enterprise Management Incentive schemes (EMI) employee time test is 25 hours or 75% of working time.
AB_ITNIC_REQ_EMPSHARESCHEME_016,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|ownership,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,16,Employees owning above {gap1} ordinary shares are {gap2} from Enterprise Management Incentive schemes (EMI) participation.,2,excluded,0.3,B,Y,A,Y,,,,,,,>30% ordinary share owners cannot qualify for Enterprise Management Incentive schemes (EMI).
AB_ITNIC_REQ_EMPSHARESCHEME_017,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|sharetype,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,17,"Enterprise Management Incentive schemes (EMI) shares must be fully paid irredeemable {gap1} shares and must not include restrictions tied to sale, forfeiture, or {gap2}.",2,ordinary,performance,A,Y,B,Y,,,,,,,EMI share class must be unrestricted
AB_ITNIC_REQ_EMPSHARESCHEME_018,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|limits,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,18,Enterprise Management Incentive schemes (EMI) individual limit is {gap1}; company-wide Enterprise Management Incentive schemes (EMI) grants are capped at {gap2}.,2,£3m,250000,B,Y,A,Y,,,,,,,"Individual Enterprise Management Incentive schemes (EMI) cap is £250,000 and company aggregate cap is £3m."
AB_ITNIC_REQ_EMPSHARESCHEME_019,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|interactions,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,19,"At the Enterprise Management Incentive schemes (EMI) limit, no more Enterprise Management Incentive schemes (EMI) can be granted for {gap1} years; {gap2} options reduce Enterprise Management Incentive schemes (EMI) capacity while Save As You Earn (SAYE) does not.",2,three,Company Share Option Plan (CSOP),A,Y,B,Y,,,,,,,"Enterprise Management Incentive schemes (EMI) lockout is three years at limit; Company Share Option Plan (CSOP) interacts with limit, Save As You Earn (SAYE) does not."
AB_ITNIC_REQ_EMPSHARESCHEME_020,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|targets,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,20,"For Enterprise Management Incentive schemes (EMI), performance targets can be set at {gap1} and must be met before {gap2}.",2,exercise,grant,B,Y,A,Y,,,,,,,Enterprise Management Incentive schemes (EMI) permits grant-time targets that gate later exercise.
AB_ITNIC_REQ_EMPSHARESCHEME_021,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|discount,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,21,"Enterprise Management Incentive schemes (EMI) usually has no IT/NIC at grant or exercise, except where shares are issued at a {gap1} to grant-date MV; then charge compares discount with MV at {gap2}.",2,discount,exercise,A,Y,B,Y,,,,,,,Discounted EMI awards can trigger tax at exercise based on lower of discount and exercise MV uplift.
AB_ITNIC_REQ_EMPSHARESCHEME_022,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|nic|listed,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,22,"Where discounted Enterprise Management Incentive schemes (EMI) shares are taxed on exercise, NICs can arise if the company is {gap1}; disposal then falls into {gap2}.",2,CGT,listed,B,Y,A,Y,,,,,,,Your notes add NICs for listed company cases and CGT on disposal.
AB_ITNIC_REQ_EMPSHARESCHEME_023,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,emi|badr,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,23,"Enterprise Management Incentive schemes (EMI) disposal note: there is {gap1} requirement to hold 5% for relief, and the 2-year period runs from {gap2} date.",2,no,grant,A,Y,B,Y,,,,,,,EMI notes state no 5% requirement and a 2-year clock from grant date.
AB_ITNIC_REQ_EMPSHARESCHEME_024,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|structure,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,24,"A Share Incentive Plan (SIP) uses a UK-resident {gap1} to buy and hold shares, unlike SAYE/Company Share Option Plan (CSOP)/EMI where employees get {gap2}.",2,options,trust,B,Y,A,Y,,,,,,,"Share Incentive Plan (SIP) is trust-based share holding, not an option grant model."
AB_ITNIC_REQ_EMPSHARESCHEME_025,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|eligibility,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,25,"Share Incentive Plan (SIP) must be offered to all {gap1} and {gap2} employees, with possible qualifying period up to 18 months.",2,FT,PT,A,Y,B,Y,,,,,,,Share Incentive Plan (SIP) availability is broad: full-time and part-time employees.
AB_ITNIC_REQ_EMPSHARESCHEME_026,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|company,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,26,"Share Incentive Plan (SIP) shares must be fully paid irredeemable ordinary shares, and the company must not be {gap1} by another company; trust purchases may trigger {gap2}.",2,stamp duty,controlled,B,Y,A,Y,,,,,,,Share Incentive Plan (SIP) requires qualifying shares and independence; trust acquisitions can incur stamp duty.
AB_ITNIC_REQ_EMPSHARESCHEME_027,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|free,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,27,"Under Share Incentive Plan (SIP), free shares can be awarded up to {gap1} per year and may be differentiated to support {gap2}.",2,3600,incentivisation,A,Y,B,Y,,,,,,,"Free Share Incentive Plan (SIP) shares are capped at £3,600 with flexible allocation basis."
AB_ITNIC_REQ_EMPSHARESCHEME_028,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|partnership,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,28,Share Incentive Plan (SIP) partnership shares are bought from pre-tax salary up to the lower of {gap1} and {gap2} of salary.,2,0.1,1800,B,Y,A,Y,,,,,,,"Partnership share purchase cap is lower of £1,800 and 10% salary."
AB_ITNIC_REQ_EMPSHARESCHEME_029,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|matching,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,29,Share Incentive Plan (SIP) matching shares can be awarded at a maximum ratio of {gap1}:{gap2}.,2,2,1,A,Y,B,Y,,,,,,,Employer matching under Share Incentive Plan (SIP) is capped at 2:1.
AB_ITNIC_REQ_EMPSHARESCHEME_030,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|dividends,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,30,Dividends on Share Incentive Plan (SIP) shares are tax-free if used to acquire {gap1} {gap2}.,2,shares,more,B,Y,A,Y,,,,,,,Reinvested Share Incentive Plan (SIP) dividends can be tax-free when used for further share acquisition.
AB_ITNIC_REQ_EMPSHARESCHEME_031,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|exit5,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,31,"When Share Incentive Plan (SIP) shares remain in plan for over {gap1} years, withdrawal triggers {gap2} IT/NIC charge.",2,5,no,A,Y,B,Y,,,,,,,"After >5 years in Share Incentive Plan (SIP), withdrawal is free of IT/NIC."
AB_ITNIC_REQ_EMPSHARESCHEME_032,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|exit3,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,32,"If Share Incentive Plan (SIP) shares are removed within {gap1} years, IT/NIC is based on MV at {gap2}.",2,withdrawal,3,B,Y,A,Y,,,,,,,"Within 3 years, Share Incentive Plan (SIP) withdrawal charge uses market value at withdrawal."
AB_ITNIC_REQ_EMPSHARESCHEME_033,Income tax & NIC,requirements,Employee share schemes,cloze_ab,3,0,Y,sip|exit35,user_notes,1,EMPSHARESCHEME,AB_ITNIC_REQ_EMPSHARESCHEME,33,"If Share Incentive Plan (SIP) shares are removed between 3 and 5 years, IT/NIC uses the lower of MV at {gap1} and MV at {gap2}.",2,award,withdrawal,A,Y,B,Y,,,,,,,"For 3–5 year withdrawal, charge is based on the lower of award MV and withdrawal MV."
