question_id,topic,component,subtopic,question_type,difficulty,priority,active,tags,source_ref,version,subtopic_code,id_prefix,next_seq,prompt_template,gap_count,gap1_options,gap1_correct,gap1_allow_repeat,gap2_options,gap2_correct,gap2_allow_repeat,gap3_options,gap3_correct,gap3_allow_repeat,gap4_options,gap4_correct,gap4_allow_repeat,gap5_options,gap5_correct,gap5_allow_repeat,enforce_unique_across_gaps,explanation
LIST_ITNIC_REQ_EIS_001,Income tax & NIC,requirements,EIS / SEIS / VCT reliefs,cloze_list,3,core,Y,eis;seis;vct,notes,1,EIS,LIST_ITNIC_REQ_EIS,1,Fill the blanks for EIS and SEIS income tax relief: EIS subscriptions up to {gap1} get {gap2} relief; SEIS subscriptions up to {gap3} get {gap4} relief (each subject to the ‘lower of’ liability cap).,4,"[""£1,000,000"", ""£200,000"", ""£500,000""]",1000000,Y,"[""30%"", ""50%"", ""20%""]",0.3,Y,"[""£200,000"", ""£100,000"", ""£1,000,000""]",200000,Y,"[""50%"", ""30%"", ""40%""]",0.5,Y,,,,Y,"EIS: up to £1,000,000 at 30%; SEIS: up to £200,000 at 50% (both as tax reducers capped by the individual’s income tax liability)."
LIST_ITNIC_REQ_EIS_002,Income tax & NIC,requirements,EIS / SEIS / VCT reliefs,cloze_list,3,core,Y,eis;seis;vct,notes,1,EIS,LIST_ITNIC_REQ_EIS,2,Complete the timing conditions for reinvestment relief: EIS deferral relief is available when qualifying EIS shares are acquired within {gap1} year before and {gap2} years after the disposal of a chargeable asset. SEIS reinvestment relief requires reinvestment during {gap3}.,3,"[""1"", ""2"", ""3""]",1,Y,"[""3"", ""1"", ""5""]",3,Y,"[""the same tax year"", ""the following tax year"", ""any time within 3 years""]",the same tax year,Y,,,,,,,Y,: EIS reinvestment (deferral) window is 1 year before to 3 years after disposal; SEIS reinvestment relief requires reinvestment in qualifying SEIS shares during the same tax year.
LIST_ITNIC_REQ_PSC_001,Income tax & NIC,requirements,Personal service companies and IR35,cloze_list,3,core,Y,ir35;small_entity;deemed_salary,notes,1,PSC,LIST_ITNIC_REQ_PSC,1,Small entity + IR35 applies: the PSC must calculate a {gap1}; {gap2} cannot be used; dividends {gap3} the deemed salary and are {gap4} taxed as dividends; and the deemed salary is deemed paid on the {gap5} of the tax year.,5,"[""deemed salary"", ""deemed direct payment (DDP)"", ""P11D benefit""]",deemed salary,Y,"[""employment allowance"", ""personal allowance"", ""annual investment allowance""]",employment allowance,Y,"[""form part of"", ""are ignored in"", ""increase""]",form part of,Y,"[""not"", ""still"", ""partly""]",not,Y,"[""last day"", ""first day"", ""90th day""]",last day,Y,Y, for small entities: a deemed salary is calculated; employment allowance cannot be used; dividends form part of the deemed salary and are not taxed separately as dividends; deemed salary is treated as paid on the last day of the tax year.
LIST_ITNIC_REQ_PSC_002,Income tax & NIC,requirements,Personal service companies and IR35,cloze_list,3,core,Y,ir35;medium_large_entity;sds;ddp,notes,1,PSC,LIST_ITNIC_REQ_PSC,2,"Medium/large entity + IR35 applies: the {gap1} determines status and issues an {gap2}. The individual may challenge, and the client has {gap3} days to respond. The deemed direct payment is taxed like employment income, and to avoid double tax the {gap4} is deducted before computing further IT/NIC when the PSC later pays salary/dividends.",4,"[""client"", ""PSC"", ""HMRC""]",client,Y,"[""SDS"", ""P45"", ""CT600""]",SDS,Y,"[""45"", ""30"", ""60""]",45,Y,"[""DDP"", ""dividend voucher"", ""corporation tax""]",DDP,Y,,,,Y,: for medium/large entities the client determines IR35 and issues an SDS; there is a 45-day challenge/response window; the DDP is taxed like employment and is deducted to prevent double taxation when PSC later remunerates the individual.
LIST_ITNIC_REQ_SHS_001,Income tax & NIC,requirements,Employee share schemes,cloze_list,3,core,Y,share_options;terminology,notes,1,SHS,LIST_ITNIC_REQ_SHS,1,Match the terms to the definitions: Grant = {gap1}; Exercise = {gap2}; Disposal = {gap3}.,3,"[""date the right to buy starts"",""date employee buys the shares"",""date employee sells the shares""]",date the right to buy starts,Y,"[""date employee buys the shares"",""date employee sells the shares"",""date the right to buy starts""]",date employee buys the shares,Y,"[""date employee sells the shares"",""date employee buys the shares"",""date the right to buy starts""]",date employee sells the shares,Y,,,,,,,Y,"Grant is when the option is granted (right to buy starts), exercise is when the employee buys the shares, and disposal is when the employee sells the shares."
LIST_ITNIC_REQ_SHS_002,Income tax & NIC,requirements,Employee share schemes,cloze_list,3,core,Y,csop;emi;limits,notes,1,SHS,LIST_ITNIC_REQ_SHS,2,"Fill in the limits/timings: Under Company Share Option Plan (CSOP) the max option value per employee is {gap1} and options must be exercised between {gap2} and {gap3} years. Under Enterprise Management Incentive schemes (EMI), the employee limit is {gap4} and the total company grant limit is {gap5}.",5,"[""£60,000"", ""£250,000"", ""£200,000""]",60000,Y,"[""3"", ""5"", ""1""]",3,Y,"[""10"", ""5"", ""3""]",10,Y,"[""£250,000"", ""£60,000"", ""£3,000,000""]",250000,Y,"[""£3,000,000"", ""£30,000,000"", ""£60,000""]",3000000,Y,Y,": Company Share Option Plan (CSOP) limit £60,000 and exercise window 3–10 years. Enterprise Management Incentive schemes (EMI) limits: £250,000 per employee and £3m total company grant."
LIST_ITNIC_REQ_SHS_003,Income tax & NIC,requirements,Employee share schemes,cloze_list,3,core,Y,sip;hold_period;withdrawal,notes,1,SHS,LIST_ITNIC_REQ_SHS,3,"Share Incentive Plan (SIP) withdrawal charges: If shares are held in the Share Incentive Plan (SIP) for more than {gap1} years, there is no IT or NIC on withdrawal. If held for less than {gap2} years, IT and NIC are based on {gap3} at withdrawal. If held between {gap4} and {gap5} years, the IT/NIC charge is based on the lower of MV at award vs MV at withdrawal.",5,"[""5"", ""3"", ""10""]",5,Y,"[""3"", ""5"", ""18 months""]",3,Y,"[""market value"", ""original subscription cost"", ""option price""]",market value,Y,"[""3"", ""5"", ""10""]",3,Y,"[""5"", ""10"", ""18 months""]",5,Y,Y,: Share Incentive Plan (SIP) >5 years: no IT/NIC on taking shares out. <3 years: IT/NIC based on market value at withdrawal. 3–5 years: IT/NIC based on the lower of MV at award and MV at withdrawal.
LIST_CGT_REQ_SPLITYR_001,Capital gains,requirements,Split-year treatment,cloze_list,3,core,Y,split_year|overview,notes_user,1,SPLITYR,LIST_CGT_REQ_SPLITYR,1,Split-year treatment can divide the tax year into a UK part ({gap1}) and an overseas part ({gap2}).,2,"[""taxable"",""not taxable"",""exempt"",""ignored""]",taxable,Y,"[""taxable"",""partly taxable"",""not taxable"",""employment-only taxable""]",not taxable,Y,,,,,,,,,,Y,Your notes explicitly define UK part taxable and overseas part not taxable.
LIST_CGT_REQ_SPLITYR_002,Capital gains,requirements,Split-year treatment,cloze_list,3,core,Y,split_year|leaving,notes_user,1,SPLITYR,LIST_CGT_REQ_SPLITYR,2,"Leaving-UK split-year cases include leaving to begin {gap1} work overseas, and leaving to accompany a {gap2} starting full-time work overseas.",2,"[""full-time"",""part-time"",""casual"",""seasonal""]",full-time,Y,"[""friend"",""spouse"",""colleague"",""child""]",spouse,Y,,,,,,,,,,Y,The leaving cases include starting full-time overseas work yourself or accompanying a spouse who does so.
LIST_CGT_REQ_SPLITYR_003,Capital gains,requirements,Split-year treatment,cloze_list,3,core,Y,split_year|live_abroad,notes_user,1,SPLITYR,LIST_CGT_REQ_SPLITYR,3,"For the “to live abroad” leaving case to apply, the tests are whether the taxpayer is selling the {gap1} house, spending {gap2} time in UK, and keeping ties with another {gap3}.",3,"[""family"",""UK"",""overseas"",""rented""]",UK,Y,"[""significant"",""minimal"",""full-time"",""increasing""]",minimal,Y,"[""employer"",""tax year"",""country"",""spouse""]",country,Y,,,,,,,Y,"This case requires selling UK house, minimal UK presence, and ties with another country."
LIST_CGT_REQ_SPLITYR_004,Capital gains,requirements,Split-year treatment,cloze_list,3,core,Y,split_year|coming_home,notes_user,1,SPLITYR,LIST_CGT_REQ_SPLITYR,4,A coming-to-UK split-year case applies where an individual acquires a UK {gap1} and did not have sufficient {gap2} to be UK resident before that acquisition.,2,"[""employment"",""home"",""passport"",""domicile""]",home,Y,"[""ties"",""days"",""returns"",""benefits""]",ties,Y,,,,,,,,,,Y,Your notes state acquiring a UK home with insufficient pre-existing ties can qualify.
