question_id,topic,component,subtopic,question_type,difficulty,priority,active,tags,source_ref,version,subtopic_code,id_prefix,next_seq,prompt,option_a,option_b,option_c,option_d,option_e,correct_option,explanation
MCQ_ETH_DEF__001,Ethics,definitions,Fundamental principles,mcq_radio,3,,Y,,,,,MCQ_ETH_DEF_,1,What is the definition of integrity?,"Avoid bias, conflict of interest, unde influence of others","Refrain from disclosing information unless there is a legal, professional or duty to disclose, or using information to personal advantage",Straightforward and honest,Maintain skills and knowledge and act diligently when providing services,Comply with the law,Straightforward and honest,
MCQ_ETH_DEF__002,Ethics,definitions,Fundamental principles,mcq_radio,3,,Y,,,,,MCQ_ETH_DEF_,2,What is the definition of objectivity,Straightforward and honest,Comply with the law,Maintain skills and knowledge and act diligently when providing services,"Refrain from disclosing information unless there is a legal, professional or duty to disclose, or using information to personal advantage","Avoid bias, conflict of interest, unde influence of others","Avoid bias, conflict of interest, unde influence of others",
MCQ_ETH_DEF__003,Ethics,definitions,Fundamental principles,mcq_radio,3,,Y,,,,,MCQ_ETH_DEF_,3,What is the definition of professional competence and due care?,Maintain skills and knowledge and act diligently when providing services,"Avoid bias, conflict of interest, unde influence of others",Comply with the law,Straightforward and honest,"Refrain from disclosing information unless there is a legal, professional or duty to disclose, or using information to personal advantage",Maintain skills and knowledge and act diligently when providing services,
MCQ_ETH_DEF__004,Ethics,definitions,Fundamental principles,mcq_radio,3,,Y,,,,,MCQ_ETH_DEF_,4,What is the definition of confidentiality?,"Refrain from disclosing information unless there is a legal, professional or duty to disclose, or using information to personal advantage",Straightforward and honest,"Avoid bias, conflict of interest, unde influence of others",Comply with the law,Maintain skills and knowledge and act diligently when providing services,"Refrain from disclosing information unless there is a legal, professional or duty to disclose, or using information to personal advantage",
MCQ_ETH_DEF__005,Ethics,definitions,Fundamental principles,mcq_radio,3,,Y,,,,,MCQ_ETH_DEF_,5,What is the definition of professional behaviour?,Comply with the law,Maintain skills and knowledge and act diligently when providing services,"Refrain from disclosing information unless there is a legal, professional or duty to disclose, or using information to personal advantage","Avoid bias, conflict of interest, unde influence of others",Straightforward and honest,Comply with the law,
MCQ_CGA_REQ_EIS__001,Income tax & NIC,requirements,EIS / SEIS / VCT reliefs,mcq_radio,3,core,Y,eis;seis;vct,notes,1,EIS,MCQ_CGA_REQ_EIS_,1,"For EIS income tax relief, what is the maximum amount of qualifying subscriptions that can attract relief in a tax year, and at what rate (ignoring the ‘lower of’ liability cap)?","A. Up to £1,000,000 at 30%","B. Up to £200,000 at 30%","C. Up to £1,000,000 at 50%",D. Unlimited subscriptions at 30%,"E. Up to £200,000 at 50%",A,"EIS income tax relief is a tax reducer on subscriptions up to £1,000,000 in a tax year at 30% (subject to being capped by the individual’s income tax liability). Distractors: B[same_family], C[threshold_swap], D[exception_as_rule], E[threshold_swap]."
MCQ_CGA_REQ_EIS__002,Income tax & NIC,requirements,EIS / SEIS / VCT reliefs,mcq_radio,3,core,Y,eis;seis;vct,notes,1,EIS,MCQ_CGA_REQ_EIS_,2,An individual subscribed for qualifying EIS shares and claimed EIS income tax relief at 30%. The shares are later sold at a loss. How is the amount of income tax relief withdrawn (per your notes)?,A. Relief withdrawn equals proceeds × 30% (or original % relief if lower),B. Relief withdrawn equals cost × 30% (or original % relief if lower),"C. All income tax relief is withdrawn on any disposal, regardless of proceeds",D. No income tax relief is withdrawn if the shares are sold at a loss,E. Relief withdrawn equals gain × 30% (or original % relief if lower),A,"Where EIS shares are sold at a loss, your notes state the amount withdrawn is proceeds × 30% (or the original % relief if lower). Distractors: B[term_confusion], C[exception_as_rule], D[wrong_direction], E[term_confusion]."
MCQ_CGA_REQ_EIS__003,Income tax & NIC,requirements,EIS / SEIS / VCT reliefs,mcq_radio,3,core,Y,eis;seis;vct,notes,1,EIS,MCQ_CGA_REQ_EIS_,3,Which statement correctly describes the CGT/dividend position for VCT shares (per your notes)?,A. VCT dividends are tax-free and gains on disposal (new issues or secondary purchases) are exempt; losses are not allowable,B. VCT dividends are taxed normally and only gains on new issues are exempt; losses are allowable,C. VCT dividends are tax-free but gains are only exempt if shares are held for 3 years; losses are allowable,D. VCT dividends are taxed normally but gains are exempt with no minimum holding period; losses are allowable,E. VCT dividends are tax-free but gains are only exempt if shares are held for 5 years; losses are not allowable,A,"Your notes: VCT dividend income is tax-free; gains on disposal of both secondary purchases and new issues are exempt from CGT; losses are not allowable; no minimum holding period is required for this CGT treatment. Distractors: B[same_family], C[threshold_swap], D[term_confusion], E[threshold_swap]."
MCQ_ITNIC_REQ_PSC__001,Income tax & NIC,requirements,Personal service companies and IR35,mcq_radio,3,core,Y,psc;ir35;employment_status,notes,1,PSC,MCQ_ITNIC_REQ_PSC_,1,Which is the key tax/NIC driver for using a personal service company (PSC) rather than being a normal employee?,A. More generous expense deduction rules and lower NIC rates can apply to self-employment,B. Corporation tax is always higher than income tax so PSCs increase tax,C. Dividends are taxed as employment income with Class 1 NIC,D. The client must always operate PAYE regardless of size,E. Employment allowance can be used to cover the PSC’s employer NIC,A,"A PSC structure is used because (as self-employed/through company) expenses can be more generous and NIC can be lower; profits may be taxed at corporation tax rates and extracted as dividends (no NIC). Distractors: B[wrong_direction], C[term_confusion], D[exception_as_rule], E[exception_as_rule]."
MCQ_ITNIC_REQ_PSC__002,Income tax & NIC,requirements,Personal service companies and IR35,mcq_radio,3,core,Y,ir35;small_entity;deemed_salary,notes,1,PSC,MCQ_ITNIC_REQ_PSC_,2,"Where a PSC provides services to a small entity and IR35 applies (per your notes), which statement is correct?",A. A deemed salary is calculated and the individual is taxed on this (IT + NIC) rather than dividends,B. The individual remains taxed on dividends and pays no NIC if IR35 applies,C. Employment allowance can be used to offset employer NIC on the deemed salary,D. Dividends are taxed twice: once as dividends and again as deemed salary,E. The client must issue an SDS with a 45-day challenge process,A,"For small entities (per your notes): a deemed salary is calculated; IT and NIC are paid on the deemed salary, not dividends; employment allowance cannot be used; dividends form part of the deemed salary (so not taxed separately as dividends). Distractors: B[wrong_direction], C[exception_as_rule], D[exception_as_rule], E[same_family]."
